ID,Time,Name,Twitter,BlueSky,Facebook,Website,Instagram,Description
8b045ef3,1970-01-01T00:00:00.000000,Aaron David Miller,@aadrondmiller2,@carnegieendowment.org,,https://carnegieendowment.org/people/aaron-david-miller,,"Senior fellow at Carnegie Endowment, Fmr. State Dept. Analyst, Adviser, and Negotiator"
dbdf0888,2026-05-21T11:34:49.881388,Patt Morrison,@pattmlatimes,,,https://www.latimes.com/people/patt-morrison,,"Award-winning Journalist, LA Times Columnist, Author and Radio Personality"
74252c9d,1970-01-01T00:00:00.000000,David Frum,@davidfrum,@davidfrum.bsky.social,davidjfrum,https://www.theatlantic.com/author/david-frum/,,"Journalist, Political Analyst and Author"
ea518f60,1970-01-01T00:00:00.000000,Anne Applebaum,@anneapplebaum,@anneapplebaum.bsky.social,,https://anneapplebaum.substack.com/,,
74fcfbc7,1970-01-01T00:00:00.000000,Elie Honig,@eliehonig,@eliehonig.bsky.social,,,,"CNN Senior Legal Analyst, former federal and state prosecutor"
e665acf5,2026-05-07T12:29:31.262764,Tim Naftali,@TimNaftali,,,https://www.theatlantic.com/author/tim-naftali/,,"CNN Presidential Historian, Senior Research Scholar at @ColumbiaSIPA"
29da462e,1970-01-01T00:00:00.000000,Juliette Kayyem,@juliettekayyem,@juliettekayyem.bsky.social,,https://juliettekayyem.com/,,
31e1c79f,1970-01-01T00:00:00.000000,Larry Mantle,@LarryMantle,,,https://laist.com/shows/airtalk,,Host of NPR's 'Airtalk' on LAist 89.3
0e275a42,2026-04-30T10:18:20.020010,Rick Hasen,@rickhasen,@rickhasen.bsky.social,,https://law.ucla.edu/faculty/faculty-profiles/richard-l-hasen,,"Law Professor at UCLA, Director of the Safeguarding Democracy Project"
504e6478,2026-05-07T12:31:44.923937,Madeleine Brand,,,,,,"Broadcast Journalist, Host of 'Press Play' on KCRW-FM"
ce01b401,2026-05-15T13:16:16.393376,Ruth Ben-Ghiat,@ruthbenghiat,@ruthbenghiat.bsky.social,ruthbenghiatauthor,https://lucid.substack.com/,,"Historian specializing in authoritarianism and propaganda, Author of Strongmen: Mussolini to the Present"
3bbd47d5,2026-05-21T13:22:04.678247,Tom Friedman,@tomfriedman,,,https://www.nytimes.com/column/thomas-l-friedman,,"New York Times Opinion columnist, writes about foreign affairs, globalization and technology."
